Data Year,SCHOOL_YEAR,CESA,COUNTY,DISTRICT_CODE,DISTRICT_NAME,COHORT,COHORT_COUNT,N_COMPLETED,N_NOTCOMPLETED,GROUP_COUNT,multiple_multiple_private,instate_2yr_public,outstate_2yr_public,instate_4yr_private,instate_multiple_public,outstate_4yr_public,outstate_multiple_private,instate_4yr_public,multiple_2yr_public,outstate_4yr_multiple,multiple_multiple_public,outstate_less2_private,outstate_2yr_private,multiple_4yr_public,outstate_2yr_multiple,outstate_multiple_public,instate_4yr_multiple,multiple_4yr_multiple,multiple_multiple_multiple,multiple_4yr_private,outstate_4yr_private,instate_multiple_multiple,multiple_2yr_multiple,outstate_multiple_multiple
2021,2020-21,11,Polk,119,Amery,2021,112,110,2,57,,9,3,2,,13,,22,,,1,,,,,,,,,,3,,,
2019,2018-19,3,Crawford,4543,Prairie du Chien Area,2019,107,101,6,50,,11,1,1,7,,,13,,,3,,,1,,2,1,,,,3,,,
2018,2017-18,11,Pierce,1659,Ellsworth Community,2018,122,115,7,92,,13,7,,9,8,,27,,,2,,,5,,1,1,,1,,6,,,
2021,2020-21,3,Lafayette,490,Pecatonica Area,2021,26,26,,14,,5,1,,1,,,5,,,1,,,1,,,,,,,,,,
2018,2017-18,3,Grant,1813,Fennimore Community,2018,65,63,2,39,,6,3,,5,1,,13,1,,1,,,2,,,1,,1,,1,1,,
2018,2017-18,11,Pierce,4893,River Falls,2018,237,223,14,193,,9,5,3,15,27,,76,2,1,9,1,,9,,3,1,5,1,,8,2,,1
2020,2019-20,11,Barron,1080,Chetek-Weyerhaeuser Area,2020,58,56,2,34,,8,,,,7,,10,,,2,,,2,,,,1,,,1,,,
2021,2020-21,10,Chippewa,497,Bloomer,2021,92,88,4,53,,16,3,2,,4,,24,,,,,,2,,,,,,,1,,,
2020,2019-20,5,Waushara,6237,Wautoma Area,2020,105,98,7,45,,14,1,4,2,3,,15,,,,,,,,,1,,,,1,1,,
2021,2020-21,2,Racine,6083,Waterford UHS,2021,261,245,16,100,,29,,8,2,10,,34,,,,,,,,,,,2,1,5,1,,
2020,2019-20,1,Milwaukee,8127,Dr Howard Fuller Collegiate Academy,2020,65,54,11,12,,2,,2,2,2,,3,,,,,,,,,,,,,1,,,
2021,2020-21,2,Green,3934,New Glarus,2021,78,78,,29,,9,1,,,3,,14,,,1,,,,,,,,,,1,,,
2019,2018-19,9,Price,4571,Prentice,2019,29,29,,26,,9,,1,3,1,,6,,,,,,,,,,,,,2,,,
2018,2017-18,6,Winnebago,6608,Winneconne Community,2018,125,120,5,80,,19,,2,12,4,,18,,,5,,,2,,,4,2,2,,1,1,,
2018,2017-18,4,Vernon,1421,De Soto Area,2018,37,36,1,35,,10,2,,5,,,14,,,1,,,1,,,,,,,,1,,
2017,2016-17,1,Milwaukee,8127,Milwaukee Collegiate Academy,2017,44,42,2,26,,3,,3,2,1,,11,,1,2,,,1,,,,,1,,,,,
2017,2016-17,2,Jefferson,2898,Lake Mills Area,2017,98,92,6,71,,11,,3,6,4,,32,,,1,,,2,,,,,,,3,,,1
2018,2017-18,3,Grant,2912,Lancaster Community,2018,77,74,3,53,,11,,5,2,3,,24,,,1,,,,,,1,1,2,,3,,,
